date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:24:26	20/20	---M-Z	200	added ('OK')	text/plain	date:Fri,%2021%20Jul%202023%2004:24:26%20GMT	https://hakan-olcer-de.webflow.io/robots.txt		(from )
04:24:28	28922/28922	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:27%20GMT	https://hakan-olcer-de.webflow.io/	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/index.html	(from )
04:24:28	19439/19439	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:28%20GMT	https://hakan-olcer-de.webflow.io/my-portfolio	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/my-portfolio.html	(from https://hakan-olcer-de.webflow.io/)
04:24:29	34377/34377	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:29%20GMT	https://hakan-olcer-de.webflow.io/about	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/about.html	(from https://hakan-olcer-de.webflow.io/)
04:24:30	17771/17771	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:30%20GMT	https://hakan-olcer-de.webflow.io/blog	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/blog.html	(from https://hakan-olcer-de.webflow.io/)
04:24:31	13404/13404	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:31%20GMT	https://hakan-olcer-de.webflow.io/contact	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/contact.html	(from https://hakan-olcer-de.webflow.io/)
04:24:32	14995/14995	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:32%20GMT	https://hakan-olcer-de.webflow.io/project/campuswelt	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/project/campuswelt.html	(from https://hakan-olcer-de.webflow.io/)
04:24:33	13058/13058	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:33%20GMT	https://hakan-olcer-de.webflow.io/project/nest-victa	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/project/nest-victa.html	(from https://hakan-olcer-de.webflow.io/)
04:24:34	12138/12138	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:34%20GMT	https://hakan-olcer-de.webflow.io/project/wachtower	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/project/wachtower.html	(from https://hakan-olcer-de.webflow.io/)
04:24:35	13814/13814	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:35%20GMT	https://hakan-olcer-de.webflow.io/project/az-synergy	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/project/az-synergy.html	(from https://hakan-olcer-de.webflow.io/)
04:24:36	13926/13926	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:36%20GMT	https://hakan-olcer-de.webflow.io/project/veritas-tech	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/project/veritas-tech.html	(from https://hakan-olcer-de.webflow.io/)
04:24:37	22616/22616	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:37%20GMT	https://hakan-olcer-de.webflow.io/template/style-guide	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/template/style-guide.html	(from https://hakan-olcer-de.webflow.io/)
04:24:38	10210/10210	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:38%20GMT	https://hakan-olcer-de.webflow.io/template/licensing	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/template/licensing.html	(from https://hakan-olcer-de.webflow.io/)
04:24:39	8133/8133	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:39%20GMT	https://hakan-olcer-de.webflow.io/template/change-log	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/template/change-log.html	(from https://hakan-olcer-de.webflow.io/)
04:24:40	13183/13183	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Jul%202023%2004:24:40%20GMT	https://hakan-olcer-de.webflow.io/template/instructions	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/template/instructions.html	(from https://hakan-olcer-de.webflow.io/)
04:24:41	7844/7844	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22ec32f901804e8a3a3b7cd836c983b531%22	https://hakan-olcer-de.webflow.io/GET	/home/ubuntu/clone/sites/hakan-olcer.de/website_clone/hakan-olcer-de.webflow.io/GET	(from https://hakan-olcer-de.webflow.io/blog)
